#Time	'HT Avg'	'MT Avg'	'LIT Avg'	'LT Avg'	'Total Avg'	'count'
2.02	-2.458904	1.708054	-0.251992	2.141732	0.475000	6723.000000
2.03	-2.301370	1.713087	-0.262948	2.228346	0.493500	6754.000000
2.04	-2.438356	1.682886	-0.264940	2.299213	0.482500	6776.000000
2.05	-2.075342	1.610738	-0.197211	2.370079	0.530500	6801.000000
2.06	-1.616438	1.619128	-0.195219	2.381890	0.569000	6838.000000
2.07	-1.897260	1.699664	-0.142430	2.299213	0.588500	6876.000000
2.08	-1.897260	1.734899	-0.159363	2.299213	0.590500	6920.000000
2.09	-1.821918	1.768456	-0.088645	2.181102	0.626500	6954.000000
2.1	-1.958904	1.738255	-0.032869	2.216535	0.640000	6989.000000
2.11	-2.095890	1.676174	0.023904	2.011811	0.614000	7022.000000
2.12	-2.054795	1.592282	-0.009960	1.850394	0.554500	7049.000000
2.13	-1.993151	1.687919	-0.024900	1.862205	0.581500	7083.000000
2.14	-1.931507	1.642617	-0.016932	1.944882	0.587000	7115.000000
2.15	-1.794521	1.654362	-0.048805	1.940945	0.584000	7137.000000
2.16	-1.780822	1.431208	0.044821	2.043307	0.578500	7168.000000
2.17	-1.650685	1.401007	0.121514	1.826772	0.590000	7204.000000
2.18	-1.643836	1.307047	0.125498	1.917323	0.576000	7244.000000
2.19	-1.698630	1.387584	-0.015936	2.059055	0.543000	7284.000000
2.2	-1.397260	1.385906	-0.036853	2.106299	0.560000	7309.000000
2.21	-1.253425	1.384228	-0.036853	1.992126	0.555500	7346.000000
2.22	-1.178082	1.424497	-0.088645	1.909449	0.536500	7365.000000
2.23	-1.294521	1.422819	-0.031873	2.220472	0.595500	7389.000000
2.24	-1.342466	1.300336	0.065737	2.224409	0.605000	7417.000000
2.25	-1.410959	1.453020	0.103586	1.960630	0.631000	7444.000000
2.26	-1.547945	1.416107	0.159363	1.885827	0.628500	7478.000000
2.27	-1.458904	1.352349	0.177291	1.669291	0.597500	7501.000000
2.28	-1.315068	1.424497	0.171315	1.625984	0.621000	7529.000000
2.29	-1.547945	1.401007	0.214143	1.708661	0.629000	7560.000000
2.3	-1.541096	1.275168	0.289841	1.720472	0.631500	7584.000000
2.31	-1.417808	1.293624	0.223108	1.696850	0.609500	7614.000000
2.32	-1.554795	1.134228	0.250000	1.964567	0.599500	7645.000000
2.33	-1.294521	1.065436	0.229084	2.051181	0.598500	7680.000000
2.34	-1.445205	1.068792	0.249004	2.019685	0.594500	7713.000000
2.35	-1.417808	1.078859	0.278884	1.917323	0.601500	7746.000000
2.36	-1.363014	1.036913	0.254980	2.039370	0.596500	7780.000000
2.37	-1.342466	1.057047	0.248008	1.960630	0.590500	7809.000000
2.38	-1.198630	1.152685	0.213147	1.956693	0.611500	7843.000000
2.39	-1.191781	1.192953	0.166335	1.744094	0.573500	7869.000000
2.4	-1.479452	1.194631	0.127490	2.062992	0.574000	7891.000000
2.41	-1.342466	1.197987	0.125498	2.106299	0.589500	7921.000000
